Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
b'Sydney',b'Syddie22',b'1126',b'1008',b'135',b'1612048538',b'False',b'',b'2013-07-22 04:54:11',b'968019164001718272',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'Rienna Orosco',b'TriniDiva6615',b'25',b'0',b'5',b'892564641271996417',b'False',"b'Parkside, Baltimore'",b'2017-08-02 01:56:08',b'968018171033735169',b'@Influenster #FitMeDewy @Maybelline #complimentary #contest https://t.co/JMCkNXOM18',b'und',b'InfluensterApp',b'0',b'60152652',b'Influenster'
b'Yanaa ( SJ )',b'TheREALGIJane_',b'48690',b'5918',b'637',b'25818242',b'False',"b'London, England '",b'2009-03-22 13:39:39',b'968017386682150912',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'My\xe2\x9d\xa5',b'MayaMye',b'24096',b'12400',b'808',b'333858350',b'False',b'',b'2011-07-12 05:52:48',b'968016148305293313',b'RT @anhnguyeenn: messed up my left but here you go \xf0\x9f\x8c\x8a\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x97\n@ABHcosmetics ebony dipbrow\n@MorpheBrushes 35b\n@Maybelline solar gold liner \n@ABH\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'4',b'None',b'None'
b'Kenya Nawt',b'Forever__hoe_',b'4807',b'5424',b'289',b'4406616132',b'False',"b'Valley Village, Los Angeles'",b'2015-11-30 05:54:35',b'968015894210215936',"b""RT @Maybelline: You asked for it...and it's here, babellines! We're finally bringing our highly coveted #BurgundyBar palette to the US! Sig\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'52',b'None',b'None'
b'bianca\xe2\x9d\x81',b'sweetsushirolls',b'25948',b'19208',b'367',b'373784867',b'False',b'bay area ',b'2011-09-15 05:30:59',b'968015442634665984',b'RT @anhnguyeenn: messed up my left but here you go \xf0\x9f\x8c\x8a\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x97\n@ABHcosmetics ebony dipbrow\n@MorpheBrushes 35b\n@Maybelline solar gold liner \n@ABH\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'4',b'None',b'None'
b'\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\xf0\x9f\xa6\x8b\xf0\x9f\xa5\x9d\xf0\x9f\x8d\x8d\xe3\x81\xaf\xe3\x82\x8a\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xb7\xe3\x82\x8b\xf0\x9f\x8d\x8d\xf0\x9f\xa5\x9d\xf0\x9f\xa6\x8b\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',b'1dloveharry16',b'5565',b'12175',b'3218',b'2566500877',b'False',b'',b'2014-06-14 05:05:22',b'968014210922786816',b'RT @1d_ari_jus16: Gigi Hadid \xc3\x97 MAYBELLINE New York\n\n@GiGiHadid \n@Maybelline \n@LoveMaybelline https://t.co/eZjHEShBOm',b'en',b'Twitter for iPhone',b'2',b'None',b'None'
b'\xe3\x82\xb7\xe3\x82\xaa\xe3\x83\x8d',b'1d_ari_jus16',b'2432',b'22778',b'791',b'718010491533000704',b'False',b'',b'2016-04-07 09:40:15',b'968011761147305984',b'Gigi Hadid \xc3\x97 MAYBELLINE New York\n\n@GiGiHadid \n@Maybelline \n@LoveMaybelline https://t.co/eZjHEShBOm',b'en',b'Twitter for iPhone',b'2',b'None',b'None'
b'Nelly PA \xcb\x87',b'nellypote',b'5457',b'1106',b'465',b'45736796',b'False',b'DF',b'2009-06-09 02:06:59',b'968010928498397184',b'NUEVO VIDEO EN YOUTUBE hablamos de la nueva colecci\xc3\xb3nde @Maybelline con @GiGiHadid \xe2\x9c\xa8 #GiGiXMaybelline \n\nhttps://t.co/8z7G83P1t1',b'es',b'Twitter for iPhone',b'0',b'None',b'None'
b'K',b'k_mhoward',b'8139',b'5112',b'429',b'109276260',b'False',b'',b'2010-01-28 14:36:21',b'968009480771330049',b'@Maybelline @itsbl0ndie',b'und',b'Twitter for iPhone',b'0',b'64574086',b'Maybelline'
b'Penny Pinson',b'PennyPinson2',b'6786',b'40392',b'154',b'4856647699',b'False',b'',b'2016-02-04 01:16:48',b'968007089254813696',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Bec Bolger',b'bec_becbol',b'7340',b'8674',b'273',b'2149697900',b'False',b'',b'2013-10-22 20:48:28',b'968006594385526784',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Toni Thiel',b'smilley12',b'2177',b'1438',b'130',b'46580435',b'False',b'',b'2009-06-12 04:28:15',b'968004338416173056',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPad',b'18',b'None',b'None'
b'Christopher Aparicio',b'Christo31624404',b'3258',b'1718',b'440',b'802667088959705090',b'False',"b'Linden, NJ'",b'2016-11-27 00:15:21',b'968004290957766656',b'@VictoriaJustice @Maybelline @vmagazine @KAadnevik \xf0\x9f\x94\xa5\xf0\x9f\x98\x8d',b'und',b'Twitter Web Client',b'0',b'50037051',b'VictoriaJustice'
b'Ysabella \xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbb',b'Ysabeeellaaa',b'5068',b'252',b'595',b'183061326',b'False',b'United States',b'2010-08-26 01:51:42',b'968003924346245120',b'@Influenster #FitMeDewy @Maybelline #complimentary #contest \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/aA99UnAApe',b'und',b'InfluensterApp',b'0',b'60152652',b'Influenster'
b'Makeup_LoveBeauty_loveLife',b'_Makeup_BeU',b'95',b'0',b'28',b'958580986333290496',b'False',b'',b'2018-01-31 06:01:31',b'968002564309438465',b'Bumpin Big hypnotized with her \xf0\x9f\x92\x9d@yccollection1 brow pomade in dark brown (dc: dopeitsmaribelle)@beautycreations.cos\xe2\x80\xa6 https://t.co/LXvf2Hg31J',b'en',b'Twitter Web Client',b'0',b'None',b'None'
b'jozelyn',b'jaehyng',b'6219',b'21071',b'274',b'2260026548',b'False',b'',b'2013-12-24 09:02:51',b'968001532405755904',b'@anhnguyeenn @ABHcosmetics @MorpheBrushes @Maybelline @MakeupForWOC @norvina1 me trying to look for any flaws https://t.co/kTvaHJrAep',b'en',b'Twitter for iPhone',b'0',b'844115875691089921',b'anhnguyeenn'
b'Lizzy Martin',b'willnbaelsmommy',b'10731',b'6353',b'656',b'3169194654',b'False',b'',b'2015-04-23 21:31:01',b'968001180705046534',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
